interval_number,interval_start,interval_end,slope,intercept
1.000000,0.000000,0.206254,0.988805,0.003773
2.000000,0.206254,0.340589,22.654981,-4.464967
3.000000,0.340589,0.649388,-18.794861,9.652402
4.000000,0.649388,0.809214,34.385286,-24.882170
5.000000,0.809214,1.454865,0.000000,2.942898
6.000000,1.454865,1.547785,-19.708174,31.615874
7.000000,1.547785,2.774125,0.000000,1.111856
8.000000,2.774125,2.972806,-20.887327,59.056113
9.000000,2.972806,3.257819,-0.000000,-3.037854
10.000000,3.257819,3.362365,20.951517,-71.294345
11.000000,3.362365,3.471720,-7.315468,23.749571
12.000000,3.471720,3.566863,13.935633,-50.028302
13.000000,3.566863,3.685271,-5.955258,20.919786
14.000000,3.685271,3.833847,4.223134,-16.590342
15.000000,3.833847,4.640455,0.000000,-0.399496
16.000000,4.640455,4.735119,8.530739,-39.985771
17.000000,4.735119,4.901505,-6.827316,32.736436
18.000000,4.901505,5.057002,10.066122,-50.066831
19.000000,5.057002,5.279020,-9.663600,49.706411
20.000000,5.279020,5.536074,9.305238,-50.430455
21.000000,5.536074,5.698455,0.000000,1.084031
22.000000,5.698455,5.844915,4.773366,-26.116579
23.000000,5.844915,6.033959,-0.000000,1.783338
24.000000,6.033959,6.258860,-5.587792,35.499829
25.000000,6.258860,6.386708,8.486086,-52.586605
26.000000,6.386708,6.710080,-0.000000,1.611545
27.000000,6.710080,6.983640,-15.147307,103.250957
28.000000,6.983640,7.262262,-0.000000,-2.532386
29.000000,7.262262,7.596232,5.718114,-44.059068
30.000000,7.596232,7.763073,-0.000000,-0.622947
31.000000,7.763073,7.857831,12.450588,-97.278012
