index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS
0,1617400287.1,50.83,0.0,35.0,,,-86.7231635,36.1118395,,,0.0,0.0,0.0,0.0,0.0
1,1617400287.2,50.80501560026294,0.1093095150814463,35.0,,,-86.723157,36.1118282,,,0.0,0.0,0.0,0.0,1.385546364647269
2,1617400287.3,50.85120635662538,0.0,35.0,,,-86.72315019999999,36.111817,,,0.0,0.0,0.0,0.0,2.7726717224111974
3,1617400287.4,50.91,0.0,35.0,,,-86.7231438,36.1118055,,,0.0,0.0,0.0,0.0,4.174709674650325
4,1617400287.5,50.90373063610055,0.1771710302618157,35.0,,,-86.7231373,36.1117943,,,0.0,0.0,0.0,0.0,5.550180256546426
5,1617400287.6,50.94772797456858,0.0,35.0,,,-86.72313079999999,36.111783200000005,,,0.0,0.0,0.0,0.0,6.915591184642158
6,1617400287.7,50.97338743422304,0.0405354561275886,35.0,,,-86.7231238,36.1117715,,,0.0,0.0,0.0,0.0,8.360568911479087
7,1617400287.8,50.95522572378823,0.0,35.0,,,-86.7231172,36.11176,,,0.0,0.0,0.0,0.0,9.770069443491991
8,1617400287.9,50.979634910388825,0.0,35.0,,,-86.7231105,36.1117482,,,0.0,0.0,0.0,0.0,11.213624414462998
9,1617400288.0,51.00539018813872,0.10061212187637,35.0,,,-86.72310379999999,36.1117365,,,0.0,0.0,0.0,0.0,12.647080006153066
10,1617400288.1,50.98,0.0,35.0,,,-86.7230968,36.1117233,,,0.0,0.0,0.0,0.0,14.243879351747859
11,1617400288.2,50.98056803955076,0.0,35.479301525982144,,,-86.7230902,36.1117115,,,0.0,0.0,0.0,0.0,15.683712231079095
12,1617400288.3,50.99063404804576,0.0,35.98125642507776,,,-86.723084,36.1116997,,,0.0,0.0,0.0,0.0,17.109125307765428
13,1617400288.4,50.97822847941109,0.0,36.0,,,-86.7230772,36.111689,,,0.0,0.0,0.0,0.0,18.44655895630917
14,1617400288.5,50.97330137307278,0.0,36.0,,,-86.7230695,36.1116772,,,0.0,0.0,0.0,0.0,19.929816861121974
15,1617400288.6,50.97192043599797,0.0,36.0,,,-86.723063,36.1116652,,,0.0,0.0,0.0,0.0,21.386320230546094
16,1617400288.7,50.9367165488892,0.0,36.0,,,-86.7230558,36.1116535,,,0.0,0.0,0.0,0.0,22.839206849369
17,1617400288.8,50.9531566974064,0.0,36.0,,,-86.7230503,36.1116418,,,0.0,0.0,0.0,0.0,24.23084494545829
18,1617400288.9,50.97577547846568,0.0,36.0,,,-86.7230437,36.111630700000006,,,0.0,0.0,0.0,0.0,25.600121954603527
19,1617400289.0,50.95705570944345,0.0,36.0,,,-86.72303620000001,36.11161729999999,,,0.0,0.0,0.0,0.0,27.235374879816003
20,1617400289.1,50.920894852165446,0.0,36.0,,,-86.72302979999999,36.1116058,,,0.0,0.0,0.0,0.0,28.63741343182517
21,1617400289.2,50.94,0.0,36.478919221107176,,,-86.7230228,36.1115938,,,0.0,0.0,0.0,0.0,30.11249738674426
22,1617400289.3,50.88631435272406,-0.19,36.97994832387052,,,-86.7230162,36.1115818,,,0.0,0.0,0.0,0.0,31.572625464291708
23,1617400289.4,50.88,0.0,37.0,,,-86.7230092,36.11157,,,0.0,0.0,0.0,0.0,33.02762333108326
24,1617400289.5,50.859555643721485,0.0,37.0,,,-86.7230025,36.1115583,,,0.0,0.0,0.0,0.0,34.46107949561787
25,1617400289.6,50.85081775510759,-0.2806871300652603,37.0,,,-86.7229957,36.1115467,,,0.0,0.0,0.0,0.0,35.88827319262194
26,1617400289.7,50.82750880554265,0.0,37.0,,,-86.722989,36.111535,,,0.0,0.0,0.0,0.0,37.32172943141
27,1617400289.8,50.85263369551182,0.0,37.47961700189138,,,-86.7229823,36.1115235,,,0.0,0.0,0.0,0.0,38.73503282862804
28,1617400289.9,50.8313363221433,0.0,37.97980780926895,,,-86.7229755,36.1115117,,,0.0,0.0,0.0,0.0,40.18235696518183
29,1617400290.0,50.9171521774278,0.1800122914837577,38.0,,,-86.72296870000001,36.1114998,,,0.0,0.0,0.0,0.0,41.63976929188661
30,1617400290.1,50.92,0.0,38.0,,,-86.72296180000001,36.1114882,,,0.0,0.0,0.0,0.0,43.07083107413037
31,1617400290.2,51.0431339549693,0.0332285432994865,38.0,,,-86.722955,36.1114763,,,0.0,0.0,0.0,0.0,44.52824347726057
32,1617400290.3,51.05280586646082,0.5179603417380129,38.0,,,-86.722948,36.1114645,,,0.0,0.0,0.0,0.0,45.98324170910474
33,1617400290.4,51.20778874248856,0.3052093729659362,38.47749933528317,,,-86.722941,36.1114528,,,0.0,0.0,0.0,0.0,47.42822054564864
