Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1617229771.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617229771.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1617229772.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1617229772.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1617229772.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1617229772.3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1617229772.4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1617229772.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1617229772.6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1617229772.7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1617229772.8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1617229772.9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1617229773.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
1617229773.1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1617229773.2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1617229773.3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1617229773.4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1617229773.5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
1617229773.6,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
1617229773.7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
1617229773.8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1617229773.9,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
1617229774.0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
1617229774.1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
1617229774.2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1617229774.3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
1617229774.4,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
1617229774.5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
1617229774.6,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1617229774.7,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
1617229774.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1617229774.9,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1617229775.0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
1617229775.1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1617229775.2,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
1617229775.3,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
1617229775.4,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
1617229775.5,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
1617229775.6,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
1617229775.7,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
1617229775.8,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1617229775.9,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
1617229776.0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
1617229776.1,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
1617229776.2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
1617229776.3,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
1617229776.4,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
1617229776.5,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
1617229776.6,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
1617229776.7,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
1617229776.8,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1617229776.9,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
1617229777.0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
1617229777.1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1617229777.2,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
1617229777.3,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
1617229777.4,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
1617229777.5,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
1617229777.6,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
1617229777.7,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
1617229777.8,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1617229777.9,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
1617229778.0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
1617229778.1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
1617229778.2,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
1617229778.3,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
1617229778.4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
1617229778.5,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
1617229778.6,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
1617229778.7,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
1617229778.8,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
1617229778.9,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
1617229779.0,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
1617229779.1,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
1617229779.2,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
1617229779.3,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
1617229779.4,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
1617229779.5,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
1617229779.6,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
1617229779.7,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
1617229779.8,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
1617229779.9,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
1617229780.0,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
1617229780.1,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
1617229780.2,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
1617229780.3,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
1617229780.4,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
1617229780.5,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
1617229780.6,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
1617229780.7,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
1617229780.8,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
1617229780.9,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
1617229781.0,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
1617229781.1,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
1617229781.2,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
1617229781.3,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1617229781.4,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
1617229781.5,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
1617229781.6,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
1617229781.7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
1617229781.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1617229781.9,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
1617229782.0,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
1617229782.1,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
1617229782.2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
1617229782.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
1617229782.4,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
1617229782.5,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
1617229782.6,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
1617229782.7,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
1617229782.8,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
1617229782.9,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
1617229783.0,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
1617229783.1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
1617229783.2,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
1617229783.3,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
1617229783.4,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
1617229783.5,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
1617229783.6,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
1617229783.7,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
1617229783.8,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
1617229783.9,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
1617229784.0,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
1617229784.1,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
1617229784.2,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
1617229784.3,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
1617229784.4,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
1617229784.5,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
1617229784.6,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
1617229784.7,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
1617229784.8,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1617229784.9,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
1617229785.0,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
1617229785.1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
1617229785.2,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
1617229785.3,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
1617229785.4,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
1617229785.5,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
1617229785.6,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
1617229785.7,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
1617229785.8,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
1617229785.9,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
1617229786.0,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
1617229786.1,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
1617229786.2,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
1617229786.3,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
1617229786.4,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
