index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
2147,1618577338.7,110.83163679907508,-0.1520290701098514,78.44082359140405,,,-86.6850037,36.0649573,,,0.0,0.0,0.6870054968905104,0.0,6282.572350828677,-6208.272350828677,356.8527001413482,West,False
2148,1618577338.8,110.67981936370458,-0.12014836899912432,78.0,,,-86.68498129999999,36.064936,,,0.0,0.0,0.5307280762448111,0.0,6285.680950254453,-6211.380950254453,356.83727722425067,West,True
2149,1618577338.9,110.61306771994532,-0.08510235348747915,78.0,,,-86.6849588,36.0649145,,,0.0,0.0,0.3744502830043508,0.0,6288.8123248380225,-6214.512324838022,356.7801313552646,West,True
2150,1618577339.0,110.58729647533674,-0.04713949568079558,78.0,,,-86.68493670000001,36.064893,,,0.0,0.0,0.2181728623586515,0.0,6291.92060019718,-6217.62060019718,356.82434007367925,West,True
2151,1618577339.1,110.57085309363626,-0.006571111754460242,78.0,,,-86.6849145,36.0648717,,,0.0,0.0,0.0618954417129522,0.0,6295.017587494482,-6220.717587494481,356.8089064556923,West,True
2152,1618577339.2,110.54496895795384,0.03622382963427746,78.0,,,-86.68489220000001,36.0648502,,,0.0,0.0,0.0,0.0,6298.137382930823,-6223.837382930823,356.8378479797343,West,True
2153,1618577339.3,110.53816338110666,0.08079054406249156,78.0,,,-86.6848698,36.0648288,,,0.0,0.0,0.0,0.0,6301.254464425407,-6226.9544644254065,356.78004518825503,West,True
2154,1618577339.4,110.65315050616157,0.12660037064249227,78.0,,,-86.6848477,36.0648073,,,0.0,0.0,0.0,0.0,6304.362741167454,-6230.062741167454,356.86651312132216,West,True
2155,1618577339.5,110.65030786312708,0.1730580214258422,78.0,,,-86.68482519999999,36.064786,,,0.0,0.0,0.0,0.0,6307.477172360288,-6233.177172360288,356.8230377612681,West,True
2156,1618577339.6,110.80472258984018,0.2195131108459581,77.94179935185561,,,-86.6848028,36.0647645,,,0.0,0.0,0.0,0.0,6310.602751755229,-6236.302751755229,356.881153105002,West,True
2157,1618577339.7,110.86622796235484,0.26528253428577275,77.44170396636707,,,-86.6847803,36.0647433,,,0.0,0.0,0.0,0.0,6313.708735942142,-6239.408735942142,356.7503403943479,West,True
2158,1618577339.8,110.99110098254282,0.30966991649379794,77.0,,,-86.6847583,36.0647217,,,0.0,0.0,0.0,0.0,6316.819853675494,-6242.519853675494,356.8370651404453,West,True
2159,1618577339.9,111.0754157505686,0.3519981355973115,77.0,,,-86.6847358,36.0647002,,,0.0,0.0,0.0,0.0,6319.951231817788,-6245.651231817787,356.82475428231186,West,True
2160,1618577340.0,111.18360102910258,0.391632198668298,77.0,,,-86.6847137,36.064679,,,0.0,0.0,0.0,0.0,6323.0339271247285,-6248.733927124728,356.82293125110425,West,True
2161,1618577340.1,111.36805765003756,0.4280141329774112,77.0,,,-86.6846913,36.0646575,,,0.0,0.0,0.0,0.0,6326.15950828446,-6251.8595082844595,356.7790679192976,West,True
2162,1618577340.2,111.48,0.460682886393568,77.0,,,-86.684669,36.0646358,,,0.0,0.0,0.0,0.0,6329.296381426732,-6254.996381426732,356.8647921997882,West,True
2163,1618577340.3,111.58100431030468,0.4893019584650784,77.0,,,-86.6846463,36.0646143,,,0.0,0.0,0.0,0.0,6332.439401420211,-6258.139401420211,356.764883006125,West,True
2164,1618577340.4,111.7887062160717,0.5136684908347716,77.0,,,-86.6846242,36.064592700000006,,,0.0,0.0,0.0,0.0,6335.556242129574,-6261.256242129573,356.86474996323005,West,True
2165,1618577340.5,111.92300577824288,0.533723769318348,77.0,,,-86.6846015,36.0645712,,,0.0,0.0,0.0,0.0,6338.699262849294,-6264.399262849294,356.80755256036167,West,True
2166,1618577340.6,112.09888622120556,0.5495446505802907,76.93996570078139,,,-86.684579,36.0645495,,,0.0,0.0,0.0,0.0,6341.847654880692,-6267.547654880692,356.80753096491514,West,True
2167,1618577340.7,112.2331689279258,0.5613309741440136,76.44286288253288,,,-86.6845565,36.0645278,,,0.0,0.0,0.0,0.0,6344.9960472698085,-6270.696047269808,356.79374994722195,West,True
2168,1618577340.8,112.32324942151229,0.5693783471674096,76.0,,,-86.6845342,36.0645062,,,0.0,0.0,0.0,0.0,6348.124377316709,-6273.824377316709,356.86313963806447,West,True
2169,1618577340.9,112.51945347649672,0.5740455659667675,76.0,,,-86.6845113,36.0644845,,,0.0,0.0,0.0,0.0,6351.295985635404,-6276.9959856354035,356.8069461820974,West,True
2170,1618577341.0,112.59751782217744,0.5757175399129323,76.0,,,-86.6844887,36.06446270000001,,,0.0,0.0,0.0,0.0,6354.458674971702,-6280.158674971702,356.8630967224305,West,True
