,Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1619043926.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1619043926.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1619043926.6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,1619043926.7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1619043926.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,1619043926.9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,1619043927.0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,1619043927.1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,1619043927.2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,1619043927.3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,1619043927.4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,1619043927.5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,1619043927.6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,1619043927.7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,1619043927.8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
15,1619043927.9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,1619043928.0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
17,1619043928.1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
18,1619043928.2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
19,1619043928.3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
20,1619043928.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
21,1619043928.5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
22,1619043928.6,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
23,1619043928.7,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
24,1619043928.8,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
25,1619043928.9,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
26,1619043929.0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
27,1619043929.1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
28,1619043929.2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
29,1619043929.3,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
