index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
4495,1619561306.7,76.39,0.4713602646060612,36.0,,,-86.685004,36.0650128,,,0.0,0.0,0.0,1.0,6283.544169372739,-6209.244169372739,356.73514908381304,West,False
4496,1619561306.8,76.49174685390872,0.48277507109821904,36.0,,,-86.6849892,36.064998200000005,,,0.0,0.0,0.0,1.0,6285.643036877721,-6211.343036877721,356.73395975865446,West,True
4497,1619561306.9,76.603356548125,0.4937283734482648,36.0,,,-86.684974,36.06498320000001,,,0.0,0.0,0.0,1.0,6287.79909563565,-6213.49909563565,356.8425892750055,West,True
4498,1619561307.0,76.67940969383965,0.5039349025262329,36.0,,,-86.6849588,36.0649687,,,0.0,0.0,0.0,1.0,6289.912438123123,-6215.612438123123,356.75652633837336,West,True
4499,1619561307.1,76.85710866735246,0.5131111277290403,36.0,,,-86.6849438,36.064954,,,0.0,0.0,0.0,1.0,6292.031311955321,-6217.731311955321,356.77794625857985,West,True
4500,1619561307.2,76.96634615553391,0.5209967706879294,36.0,,,-86.6849287,36.0649393,,,0.0,0.0,0.0,1.0,6294.15591672448,-6219.85591672448,356.8208152410941,West,True
4501,1619561307.3,77.12531918409312,0.5273646381848349,36.0,,,-86.68491350000001,36.064924700000006,,,0.0,0.0,0.0,1.0,6296.277755242673,-6221.977755242673,356.7338854204927,West,True
4502,1619561307.4,77.2609957981631,0.5320387387377277,36.0,,,-86.6848983,36.0649097,,,0.0,0.0,0.0,1.0,6298.433814810041,-6224.133814810041,356.82164974757677,West,True
4503,1619561307.5,77.40593007069357,0.5348985508794906,36.0,,,-86.6848832,36.0648952,,,0.0,0.0,0.0,1.0,6300.541358383443,-6226.241358383443,356.7555832872758,West,True
4504,1619561307.6,77.52389740472293,0.5358879283464059,36.0,,,-86.68486800000001,36.0648803,,,0.0,0.0,0.0,1.0,6302.688827815023,-6228.3888278150225,356.79831648154266,West,True
