Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1616591283.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616591283.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1616591283.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1616591283.4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1616591283.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1616591283.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1616591283.7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1616591283.8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1616591283.9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1616591284.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1616591284.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1616591284.2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1616591284.3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
1616591284.4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1616591284.5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1616591284.6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1616591284.7,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1616591284.8,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
1616591284.9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
1616591285.0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
1616591285.1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1616591285.2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
1616591285.3,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
1616591285.4,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
1616591285.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1616591285.6,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
1616591285.7,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
1616591285.8,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
1616591285.9,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1616591286.0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
1616591286.1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1616591286.2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1616591286.3,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
1616591286.4,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1616591286.5,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
1616591286.6,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
1616591286.7,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
1616591286.8,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
1616591286.9,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
1616591287.0,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
1616591287.1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1616591287.2,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
1616591287.3,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
1616591287.4,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
1616591287.5,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
1616591287.6,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
1616591287.7,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
1616591287.8,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
1616591287.9,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
1616591288.0,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
1616591288.1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1616591288.2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
1616591288.3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
1616591288.4,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1616591288.5,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
1616591288.6,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
1616591288.7,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
1616591288.8,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
1616591288.9,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
1616591289.0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
1616591289.1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1616591289.2,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
1616591289.3,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
1616591289.4,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
1616591289.5,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
1616591289.6,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
1616591289.7,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
1616591289.8,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
1616591289.9,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
1616591290.0,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
1616591290.1,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
1616591290.2,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
1616591290.3,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
1616591290.4,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
1616591290.5,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
1616591290.6,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
