Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1616592913.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616592913.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1616592913.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1616592913.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1616592913.6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1616592913.7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1616592913.8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1616592913.9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1616592914.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1616592914.1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1616592914.2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1616592914.3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1616592914.4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
1616592914.5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1616592914.6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1616592914.7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1616592914.8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1616592914.9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
1616592915.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
1616592915.1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
1616592915.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1616592915.3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
