Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1617834534.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617834534.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1617834535.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1617834535.1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1617834535.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1617834535.3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1617834535.4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1617834535.5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1617834535.6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1617834535.7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1617834535.8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1617834535.9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1617834536.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
1617834536.1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1617834536.2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1617834536.3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1617834536.4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1617834536.5,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
1617834536.6,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
1617834536.7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
1617834536.8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1617834536.9,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
1617834537.0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
1617834537.1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
1617834537.2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1617834537.3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
1617834537.4,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
1617834537.5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
1617834537.6,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1617834537.7,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
1617834537.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1617834537.9,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1617834538.0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
1617834538.1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1617834538.2,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
1617834538.3,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
1617834538.4,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
1617834538.5,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
1617834538.6,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
1617834538.7,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
1617834538.8,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1617834538.9,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
1617834539.0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
1617834539.1,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
1617834539.2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
1617834539.3,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
1617834539.4,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
1617834539.5,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
1617834539.6,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
1617834539.7,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
1617834539.8,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1617834539.9,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
1617834540.0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
1617834540.1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1617834540.2,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
1617834540.3,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
1617834540.4,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
1617834540.5,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
1617834540.6,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
1617834540.7,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
1617834540.8,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
1617834540.9,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
1617834541.0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
