,Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1618267116.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1618267116.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1618267116.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,1618267116.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1618267116.6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,1618267116.7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,1618267116.8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,1618267116.9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,1618267117.0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,1618267117.1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,1618267117.2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,1618267117.3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,1618267117.4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,1618267117.5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,1618267117.6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
15,1618267117.7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,1618267117.8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
17,1618267117.9,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
18,1618267118.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
19,1618267118.1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
20,1618267118.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
21,1618267118.3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
22,1618267118.4,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
23,1618267118.5,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
24,1618267118.6,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
25,1618267118.7,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
26,1618267118.8,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
27,1618267118.9,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
28,1618267119.0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
29,1618267119.1,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
30,1618267119.2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
31,1618267119.3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
32,1618267119.4,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
33,1618267119.5,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
34,1618267119.6,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
35,1618267119.7,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
36,1618267119.8,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
37,1618267119.9,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
38,1618267120.0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
39,1618267120.1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
40,1618267120.2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
41,1618267120.3,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
42,1618267120.4,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
43,1618267120.5,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
44,1618267120.6,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
45,1618267120.7,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
46,1618267120.8,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
47,1618267120.9,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
48,1618267121.0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
49,1618267121.1,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
50,1618267121.2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
51,1618267121.3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
52,1618267121.4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
53,1618267121.5,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
54,1618267121.6,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
55,1618267121.7,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
56,1618267121.8,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
57,1618267121.9,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
58,1618267122.0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
59,1618267122.1,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
60,1618267122.2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
61,1618267122.3,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
62,1618267122.4,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
63,1618267122.5,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
64,1618267122.6,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
65,1618267122.7,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
66,1618267122.8,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
67,1618267122.9,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
68,1618267123.0,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
69,1618267123.1,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
70,1618267123.2,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
71,1618267123.3,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
72,1618267123.4,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
73,1618267123.5,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
74,1618267123.6,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
75,1618267123.7,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
76,1618267123.8,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
77,1618267123.9,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
78,1618267124.0,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
79,1618267124.1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
80,1618267124.2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
81,1618267124.3,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
82,1618267124.4,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
83,1618267124.5,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
84,1618267124.6,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
85,1618267124.7,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
86,1618267124.8,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
87,1618267124.9,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
88,1618267125.0,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
89,1618267125.1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
90,1618267125.2,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
91,1618267125.3,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
92,1618267125.4,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
93,1618267125.5,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
94,1618267125.6,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
95,1618267125.7,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
96,1618267125.8,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
97,1618267125.9,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
98,1618267126.0,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
99,1618267126.1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
100,1618267126.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
101,1618267126.3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
102,1618267126.4,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
103,1618267126.5,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
104,1618267126.6,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
105,1618267126.7,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
106,1618267126.8,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
