time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
-298.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-238.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-178.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-118.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-58.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
61.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
121.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
181.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
241.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
301.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
361.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
421.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
481.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
541.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
601.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
661.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
721.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
781.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
841.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
901.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
961.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
