time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
-298.5,100,100,90,90,90,100,90,90,100,90,91,100,100,100,100,100,90,90,100,100,92
-238.5,100,100,90,90,90,100,90,90,100,90,91,100,100,100,90,90,90,90,100,100,92
-178.5,100,100,100,100,100,90,100,100,90,90,91,100,100,100,90,90,97,100,100,100,92
-118.5,100,100,100,100,100,90,90,90,90,90,91,100,100,90,90,90,97,100,100,100,92
-58.5,100,100,100,100,100,90,90,90,90,90,91,100,100,90,90,90,97,100,100,100,92
1.5,100,100,100,100,100,90,90,90,90,90,91,100,100,90,90,90,97,100,100,100,92
61.5,100,100,100,100,100,90,90,90,90,100,100,100,100,90,90,90,100,100,100,100,100
121.5,100,100,100,100,100,90,90,90,90,100,99,90,90,90,90,90,100,100,100,100,100
181.5,100,100,100,100,100,100,90,90,90,100,99,90,90,100,100,100,100,100,100,100,100
241.5,100,100,100,100,100,100,90,90,100,100,99,90,90,100,100,100,100,100,100,100,100
301.5,100,100,100,100,100,100,90,90,100,100,99,90,90,100,100,100,100,100,100,100,100
361.5,100,100,100,100,100,100,90,90,100,100,99,90,90,100,100,100,100,100,100,100,100
421.5,100,100,100,100,100,100,90,90,100,90,91,100,100,100,100,100,100,100,100,100,100
481.5,100,100,100,100,100,90,90,90,100,90,91,100,100,100,100,100,100,100,100,100,100
541.5,100,100,100,100,100,100,90,90,100,90,91,100,100,100,100,100,93,90,100,100,100
601.5,100,100,100,100,100,100,100,100,100,90,91,100,100,100,100,100,93,90,100,100,100
661.5,100,100,100,100,100,100,90,90,90,90,91,100,100,100,100,100,93,90,100,100,100
721.5,100,100,100,100,100,100,100,100,90,90,91,100,100,100,100,100,93,90,100,100,92
781.5,100,100,100,100,100,100,90,90,90,100,100,100,100,100,100,100,90,90,100,100,92
841.5,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,90,90,100,100,92
901.5,100,100,100,100,100,100,100,100,90,100,100,100,100,100,90,90,90,90,100,100,92
961.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,90,90,100,100,92
