,Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1619561924.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1619561924.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1619561924.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,1619561924.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1619561924.7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,1619561924.8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,1619561924.9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,1619561925.0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,1619561925.1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,1619561925.2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,1619561925.3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,1619561925.4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,1619561925.5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,1619561925.6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,1619561925.7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
15,1619561925.8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,1619561925.9,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
17,1619561926.0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
18,1619561926.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
19,1619561926.2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
20,1619561926.3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
21,1619561926.4,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
22,1619561926.5,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
23,1619561926.6,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
24,1619561926.7,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
25,1619561926.8,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
26,1619561926.9,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
27,1619561927.0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
28,1619561927.1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
29,1619561927.2,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
30,1619561927.3,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
31,1619561927.4,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
32,1619561927.5,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
33,1619561927.6,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
34,1619561927.7,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
35,1619561927.8,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
36,1619561927.9,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
37,1619561928.0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
38,1619561928.1,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
39,1619561928.2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
40,1619561928.3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
41,1619561928.4,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
42,1619561928.5,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
43,1619561928.6,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
44,1619561928.7,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
45,1619561928.8,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
46,1619561928.9,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
47,1619561929.0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
48,1619561929.1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
49,1619561929.2,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
50,1619561929.3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
51,1619561929.4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
52,1619561929.5,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
53,1619561929.6,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
54,1619561929.7,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
55,1619561929.8,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
56,1619561929.9,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
57,1619561930.0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
58,1619561930.1,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
59,1619561930.2,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
60,1619561930.3,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
61,1619561930.4,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
62,1619561930.5,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
63,1619561930.6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
64,1619561930.7,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
65,1619561930.8,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
66,1619561930.9,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
67,1619561931.0,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
68,1619561931.1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
69,1619561931.2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
70,1619561931.3,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
71,1619561931.4,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
