time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
-281.2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-221.2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-161.2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-101.2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
-41.2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
18.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
78.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
138.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
198.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
258.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
318.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
378.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
438.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
498.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
558.8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
