time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
-291.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,90
-231.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,94,92
-171.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,93,98
-111.7,100,100,100,100,100,90,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100
-51.7,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8.3,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,90,93,90,100,100,100
68.3,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,100,93,90,100,100,100
128.3,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,100,93,90,100,100,100
188.3,100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,90,90,90,100,100,100
248.3,100,100,100,100,100,100,100,100,100,100,100,100,90,90,90,90,90,90,100,100,100
308.3,100,100,100,100,100,100,100,100,100,100,100,100,90,90,90,90,97,100,100,100,100
368.3,100,100,100,100,100,100,100,100,100,100,99,90,90,90,100,90,97,100,100,100,100
428.3,100,100,90,90,90,100,100,100,100,100,99,90,90,90,100,90,97,100,100,100,100
488.3,100,100,100,100,100,100,90,90,90,100,99,90,90,100,100,100,97,100,100,100,100
548.3,100,100,90,90,90,90,90,90,100,90,90,90,90,100,100,100,100,100,100,100,100
608.3,100,100,100,100,100,100,100,100,90,100,99,90,90,100,100,100,100,100,100,100,100
668.3,100,100,100,100,100,100,100,100,100,90,90,90,100,100,100,100,100,100,100,100,100
